Malét a mbôñe hyémbi.	Màlêt à mɓōŋɛ hyembi.
A ntuhul me két (i) nuga.	À ntuhul mɛ̀ kēt (i) nugā.
Ñkum u ñkôs ndoñ, ñkum u nlôôs ndoñ.	Ñkum u ŋ̀kôs ndoñ, ŋ̀kùm u ǹloōs ndɔŋ.
Mañ mut unu u nlo u mboda nyono wotama.	Maŋ mùt unu u nlɔ̀ u mboda nyɔ̀nɔ wotama.
Boñge ba ñke jogop ba kahal ndugi kôt mañgudga.	Ɓɔ̀ŋgɛ ɓa ŋkɛ̀ jɔ̀gɔ̂p ɓa kahal ndugi kòt mañgudga.
Bihégél bi ndap u nlama yoñ yihe le jam li set bañ.	Bihégél bi ndap u ǹlama yɔŋ yı̄hɛ lɛ jàm li sɛt ɓâŋ.
Mudaa a mpén bibép bi nyo.	Mùdàa à mpén biɓep bi nyɔ̀.
Malét a nhundus binan.	Màlêt à nhundus bı̀nan.
Me ñañ Litila Lipubi hi kel.	Mɛ̀ ŋāŋ Lı̀tı̀là Lı̀pubi hi kɛl.
Litôa li ntjaba bikay.	Lı̀toà li ǹcaba bikay.
Kel i biyél me yani i lom.	Kɛl i biyél mɛ̀ yani i lɔ̂m.
Kidbô nyoo.	Kidbô nyɔɔ.
Key i nyeghe hikôa; njal i nyeghe me.	Kɛ̀y i nyeghe hikôa; njâl i nyeghe mɛ̂.
Lôk hitôt.	Lòk hitôt.
A mmal nson le pum.	À m̂mâl ǹsɔn lɛ pum.
Nyôy i nhum.	Nyǒy i nhum.
Bañga i lôl Abram i yiinda...(Bib 15,1).	Ɓàŋga i lôl Abram i yiinda...(Bib 15,1).
Nimblene me ñkôô.	Nimblene mɛ̀ ŋkòò.
U mpéndlaha me man wem kôp; kon u mpéndlaha bo.	Ù mpéndlaha mɛ̀ man wɛ̂m kop; kɔ̀n u mpéndlaha ɓɔ.
Limbaa li ñkônô.	Limbaa li ŋkono.
